Date,Timestamp,Ticker,OpenPrice,HighPrice,LowPrice,ClosePrice,TotalVolume,TotalQuantity,TotalTradeCount
20151117,05:53:00,V,79.07,79.07,79.07,79.07,7907.00,100,1
20151117,07:42:00,V,79.10,79.10,79.10,79.10,7910.00,100,1
20151117,08:01:00,V,78.79,78.79,78.79,78.79,23637.00,300,1
20151117,08:11:00,V,78.86,78.86,78.86,78.86,15772.00,200,2
20151117,08:28:00,V,79.10,79.10,79.10,79.10,37651.60,476,1
20151117,08:29:00,V,79.10,79.10,79.10,79.10,39550.00,500,1
20151117,08:35:00,V,79.09,79.20,79.09,79.20,27545.32,348,3
20151117,08:38:00,V,79.25,79.25,79.25,79.25,15850.00,200,1
20151117,08:47:00,V,79.29,79.29,79.29,79.29,7929.00,100,1
20151117,08:53:00,V,79.29,79.29,79.29,79.29,23787.00,300,1
20151117,08:58:00,V,79.29,79.29,79.29,79.29,15858.00,200,1
20151117,09:18:00,V,79.20,79.20,79.20,79.20,118800.00,1500,1
20151117,09:27:00,V,79.16,79.16,79.16,79.16,15832.00,200,2
20151117,09:31:00,V,78.98,79.04,78.94,79.02,1790485.80,22669,137
20151117,09:32:00,V,79.02,79.19,78.99,79.14,3599751.79,45514,348
20151117,09:33:00,V,79.14,79.25,79.05,79.22,6940158.61,87682,427
20151117,09:34:00,V,79.22,79.23,79.12,79.15,6783105.90,85704,423
20151117,09:35:00,V,79.16,79.22,79.09,79.09,9321916.00,117717,287
20151117,09:36:00,V,79.09,79.13,79.03,79.07,1350630.26,17080,90
20151117,09:37:00,V,79.06,79.08,79.00,79.03,1363004.18,17243,115
20151117,09:38:00,V,79.02,79.04,78.99,79.03,1086220.45,13747,73
20151117,09:39:00,V,79.03,79.15,79.01,79.15,1681968.06,21274,105
20151117,09:40:00,V,79.14,79.17,79.08,79.09,1198939.95,15150,120
20151117,09:41:00,V,79.08,79.08,78.97,79.00,999849.73,12657,97
20151117,09:42:00,V,79.00,79.05,78.93,78.93,1847964.98,23394,141
20151117,09:43:00,V,78.93,79.07,78.93,79.07,808967.72,10241,55
20151117,09:44:00,V,79.07,79.15,79.07,79.11,851881.86,10766,82
20151117,09:45:00,V,79.12,79.20,79.09,79.10,1404688.40,17750,116
20151117,09:46:00,V,79.11,79.18,79.10,79.14,843077.52,10653,77
20151117,09:47:00,V,79.15,79.16,78.99,78.99,1919028.77,24257,120
20151117,09:48:00,V,78.99,79.09,78.96,79.09,1657331.58,20977,135
20151117,09:49:00,V,79.09,79.09,78.83,78.86,3264225.53,41347,228
20151117,09:50:00,V,78.86,78.93,78.85,78.93,1162616.35,14735,93
20151117,09:51:00,V,78.92,78.94,78.85,78.88,1379785.26,17489,146
20151117,09:52:00,V,78.86,78.97,78.84,78.95,1335971.72,16927,120
20151117,09:53:00,V,78.96,79.05,78.95,79.03,1201102.52,15203,78
20151117,09:54:00,V,79.03,79.06,78.97,79.02,1034147.25,13087,102
20151117,09:55:00,V,79.02,79.05,78.97,78.97,1480629.07,18738,128
20151117,09:56:00,V,78.96,78.99,78.90,78.92,1657267.84,20991,163
20151117,09:57:00,V,78.92,78.92,78.87,78.91,980007.35,12420,61
20151117,09:58:00,V,78.91,78.91,78.83,78.87,1244837.89,15785,85
20151117,09:59:00,V,78.86,78.86,78.80,78.83,496587.97,6300,45
20151117,10:00:00,V,78.84,78.89,78.84,78.89,1569423.50,19900,137
20151117,10:01:00,V,78.88,79.05,78.88,79.05,2100139.23,26593,117
20151117,10:02:00,V,79.06,79.06,78.99,79.02,1314970.22,16640,107
20151117,10:03:00,V,79.00,79.00,78.93,78.96,782682.00,9911,62
20151117,10:04:00,V,78.95,79.01,78.95,78.99,904195.09,11449,86
20151117,10:05:00,V,78.98,78.99,78.94,78.96,733578.56,9290,69
20151117,10:06:00,V,78.98,79.03,78.97,79.00,985372.70,12473,94
20151117,10:07:00,V,78.99,79.03,78.98,79.00,724874.30,9176,72
20151117,10:08:00,V,78.99,78.99,78.92,78.92,2331488.50,29533,186
20151117,10:09:00,V,78.92,79.00,78.91,78.99,2095007.88,26536,138
20151117,10:10:00,V,79.00,79.05,78.99,79.00,3126730.47,39564,160
20151117,10:11:00,V,79.00,79.00,78.94,78.95,575719.00,7290,55
20151117,10:12:00,V,78.95,78.97,78.94,78.94,1392264.78,17634,116
20151117,10:13:00,V,78.94,78.94,78.84,78.84,871604.77,11049,93
20151117,10:14:00,V,78.84,78.88,78.81,78.82,1588255.33,20144,110
20151117,10:15:00,V,78.80,78.81,78.76,78.76,932287.29,11835,99
20151117,10:16:00,V,78.77,78.77,78.73,78.73,1286207.86,16333,121
20151117,10:17:00,V,78.73,78.75,78.72,78.74,840825.31,10680,69
20151117,10:18:00,V,78.75,78.78,78.72,78.73,641911.04,8151,73
20151117,10:19:00,V,78.74,78.78,78.74,78.78,188995.25,2400,17
20151117,10:20:00,V,78.76,78.78,78.72,78.76,775869.55,9851,75
20151117,10:21:00,V,78.76,78.77,78.71,78.74,792753.36,10068,65
20151117,10:22:00,V,78.73,78.75,78.70,78.74,1156808.96,14694,94
20151117,10:23:00,V,78.73,78.76,78.73,78.74,558108.19,7088,49
20151117,10:24:00,V,78.73,78.87,78.73,78.87,708390.62,8991,74
20151117,10:25:00,V,78.85,78.88,78.79,78.80,1146798.52,14549,97
20151117,10:26:00,V,78.79,78.84,78.78,78.84,718774.06,9120,64
20151117,10:27:00,V,78.83,78.83,78.74,78.75,843175.37,10701,72
20151117,10:28:00,V,78.75,78.76,78.72,78.72,400841.08,5091,42
20151117,10:29:00,V,78.72,78.79,78.70,78.79,572601.22,7273,61
20151117,10:30:00,V,78.80,78.85,78.78,78.81,772926.72,9805,68
20151117,10:31:00,V,78.79,78.79,78.77,78.79,292274.10,3710,35
20151117,10:32:00,V,78.80,78.86,78.80,78.82,682467.08,8658,64
20151117,10:33:00,V,78.82,78.90,78.81,78.90,1153651.51,14630,109
20151117,10:34:00,V,78.89,78.92,78.82,78.91,2591517.57,32866,178
20151117,10:35:00,V,78.90,78.99,78.90,78.98,2718301.36,34440,203
20151117,10:36:00,V,78.98,79.18,78.98,79.18,2823510.11,35713,271
20151117,10:37:00,V,79.18,79.19,79.09,79.09,1708194.83,21578,160
20151117,10:38:00,V,79.09,79.13,79.07,79.12,458546.53,5797,47
20151117,10:39:00,V,79.08,79.13,79.08,79.12,578250.49,7309,52
20151117,10:40:00,V,79.12,79.12,79.00,79.00,551165.72,6972,60
20151117,10:41:00,V,79.01,79.01,78.96,78.97,945977.91,11977,65
20151117,10:42:00,V,78.97,79.00,78.96,78.98,1058231.75,13399,88
20151117,10:43:00,V,78.97,79.07,78.97,79.06,819310.63,10367,92
20151117,10:44:00,V,79.06,79.12,79.06,79.11,814300.05,10295,85
20151117,10:45:00,V,79.11,79.16,79.10,79.16,1124136.15,14209,84
20151117,10:46:00,V,79.17,79.17,79.08,79.12,910886.14,11511,80
20151117,10:47:00,V,79.12,79.19,79.12,79.18,715693.54,9041,67
20151117,10:48:00,V,79.18,79.18,79.13,79.14,399921.91,5053,44
20151117,10:49:00,V,79.13,79.14,79.09,79.09,514284.50,6500,44
20151117,10:50:00,V,79.11,79.18,79.10,79.18,746402.60,9431,73
20151117,10:51:00,V,79.18,79.18,79.09,79.15,722974.95,9136,77
20151117,10:52:00,V,79.15,79.19,79.13,79.17,732230.30,9250,57
20151117,10:53:00,V,79.17,79.21,79.15,79.21,573918.26,7247,41
20151117,10:54:00,V,79.20,79.24,79.18,79.24,675911.75,8533,56
20151117,10:55:00,V,79.22,79.22,79.19,79.20,426527.20,5385,37
20151117,10:56:00,V,79.20,79.23,79.18,79.23,466009.69,5884,33
20151117,10:57:00,V,79.23,79.25,79.21,79.24,962599.01,12149,70
20151117,10:58:00,V,79.25,79.25,79.20,79.21,988769.62,12480,74
20151117,10:59:00,V,79.21,79.24,79.21,79.24,626618.07,7910,63
20151117,11:00:00,V,79.24,79.25,79.21,79.22,278164.42,3511,31
20151117,11:01:00,V,79.22,79.24,79.22,79.24,353757.42,4465,32
20151117,11:02:00,V,79.25,79.28,79.24,79.27,783937.26,9891,78
20151117,11:03:00,V,79.26,79.26,79.22,79.22,1064774.26,13438,89
20151117,11:04:00,V,79.23,79.25,79.22,79.25,635925.83,8026,47
20151117,11:05:00,V,79.24,79.26,79.23,79.23,511839.32,6459,49
20151117,11:06:00,V,79.24,79.25,79.17,79.18,1526287.35,19268,136
20151117,11:07:00,V,79.18,79.18,79.15,79.17,1312838.88,16583,105
20151117,11:08:00,V,79.18,79.18,79.16,79.16,464067.31,5862,38
20151117,11:09:00,V,79.16,79.16,79.13,79.14,970888.49,12268,72
20151117,11:10:00,V,79.15,79.15,79.11,79.11,1207855.19,15264,110
20151117,11:11:00,V,79.10,79.13,79.06,79.13,2214974.87,28007,183
20151117,11:12:00,V,79.13,79.14,79.12,79.14,602104.92,7609,38
20151117,11:13:00,V,79.14,79.14,79.11,79.13,566634.01,7161,52
20151117,11:14:00,V,79.12,79.12,79.08,79.10,626378.42,7919,48
20151117,11:15:00,V,79.10,79.11,79.08,79.11,529871.13,6699,46
20151117,11:16:00,V,79.11,79.15,79.10,79.14,755522.10,9547,77
20151117,11:17:00,V,79.14,79.15,79.12,79.15,556180.78,7028,55
20151117,11:18:00,V,79.15,79.16,79.13,79.15,2973872.79,37577,94
20151117,11:19:00,V,79.14,79.14,79.10,79.12,749711.28,9475,62
20151117,11:20:00,V,79.12,79.16,79.12,79.15,1072557.51,13552,68
20151117,11:21:00,V,79.15,79.18,79.15,79.18,613476.59,7750,52
20151117,11:22:00,V,79.18,79.18,79.14,79.14,779674.28,9850,64
20151117,11:23:00,V,79.14,79.15,79.10,79.11,1115934.14,14102,81
20151117,11:24:00,V,79.12,79.12,79.07,79.08,925898.20,11706,85
20151117,11:25:00,V,79.09,79.11,79.08,79.09,850234.62,10750,54
20151117,11:26:00,V,79.09,79.09,79.05,79.06,705822.02,8927,82
20151117,11:27:00,V,79.06,79.09,79.05,79.08,459255.02,5808,53
20151117,11:28:00,V,79.07,79.07,79.03,79.05,901157.40,11400,76
20151117,11:29:00,V,79.06,79.08,79.02,79.04,1246340.86,15765,99
20151117,11:30:00,V,79.03,79.07,79.03,79.06,1401473.81,17727,127
20151117,11:31:00,V,79.07,79.18,79.06,79.17,1982833.01,25056,143
20151117,11:32:00,V,79.17,79.24,79.16,79.24,1295613.67,16360,90
20151117,11:33:00,V,79.24,79.24,79.19,79.20,1576256.53,19899,119
